	mutant	strain	phenotype	date	scope	videoname	img_folder	processed	error
0	ABC	MXAN_0251	LWT	01.23.13	mic4	ABC Transporters--MXAN_0251--MXAN_0251-mic4-01.23.13	/mnt/SeagateBackup_USB/Mutant_Movies/ABC Transporters/MXAN_0251/MXAN_0251-mic4-01.23.13	True	0
1	ABC	MXAN_0251	LWT	01.23.13	mic5	ABC Transporters--MXAN_0251--MXAN_0251-mic5-01.23.13	/mnt/SeagateBackup_USB/Mutant_Movies/ABC Transporters/MXAN_0251/MXAN_0251-mic5-01.23.13	True	0
2	ABC	MXAN_0251	LWT	01.23.13	mic7	ABC Transporters--MXAN_0251--MXAN_0251-mic7-01.23.13	/mnt/SeagateBackup_USB/Mutant_Movies/ABC Transporters/MXAN_0251/MXAN_0251-mic7-01.23.13	True	0
3	ABC	MXAN_0251	LWT			ABC Transporters--MXAN_0251--test	/mnt/SeagateBackup_USB/Mutant_Movies/ABC Transporters/MXAN_0251/test	True	0
4	ABC	MXAN_0553	LWT		mic4	ABC Transporters--MXAN_0553--MXAN_0553-mic-4	/mnt/SeagateBackup_USB/Mutant_Movies/ABC Transporters/MXAN_0553/MXAN_0553-mic-4	True	0
5	ABC	MXAN_0553	LWT		mic8	ABC Transporters--MXAN_0553--MXAN_0553-mic-8	/mnt/SeagateBackup_USB/Mutant_Movies/ABC Transporters/MXAN_0553/MXAN_0553-mic-8	True	0
6	ABC	MXAN_0553	LWT			ABC Transporters--MXAN_0553--test	/mnt/SeagateBackup_USB/Mutant_Movies/ABC Transporters/MXAN_0553/test	True	0
7	ABC	MXAN_0554	LWT	05.24.12	mic4	ABC Transporters--MXAN_0554--MXAN_0554-mic4-5.24.12	/mnt/SeagateBackup_USB/Mutant_Movies/ABC Transporters/MXAN_0554/MXAN_0554-mic4-5.24.12	True	0
8	ABC	MXAN_0554	LWT	05.24.12	mic7	ABC Transporters--MXAN_0554--MXAN_0554-mic7-5.24.12	/mnt/SeagateBackup_USB/Mutant_Movies/ABC Transporters/MXAN_0554/MXAN_0554-mic7-5.24.12	True	0
9	ABC	MXAN_0554	LWT			ABC Transporters--MXAN_0554--test	/mnt/SeagateBackup_USB/Mutant_Movies/ABC Transporters/MXAN_0554/test	True	0
10	ABC	MXAN_0559	Variable	05.16.12	mic3	ABC Transporters--MXAN_0559--MXAN_0559-mic3-5.16.12	/mnt/SeagateBackup_USB/Mutant_Movies/ABC Transporters/MXAN_0559/MXAN_0559-mic3-5.16.12	True	0
11	ABC	MXAN_0559	Variable	05.16.12	mic6	ABC Transporters--MXAN_0559--MXAN_0559-mic6-5.16.12	/mnt/SeagateBackup_USB/Mutant_Movies/ABC Transporters/MXAN_0559/MXAN_0559-mic6-5.16.12	True	0
12	ABC	MXAN_0559	Variable	05.16.12	mic8	ABC Transporters--MXAN_0559--MXAN_0559-mic8-5.16.12	/mnt/SeagateBackup_USB/Mutant_Movies/ABC Transporters/MXAN_0559/MXAN_0559-mic8-5.16.12	True	0
13	ABC	MXAN_0559	Variable			ABC Transporters--MXAN_0559--test	/mnt/SeagateBackup_USB/Mutant_Movies/ABC Transporters/MXAN_0559/test	True	0
14	ABC	MXAN_0596	Late abnormal			ABC Transporters--MXAN_0596	/mnt/SeagateBackup_USB/Mutant_Movies/ABC Transporters/MXAN_0596	False	4
15	ABC	MXAN_0596	Late abnormal	02.16.12	mic3	ABC Transporters--MXAN_0596--MXAN_0596-mic3-2.16.12	/mnt/SeagateBackup_USB/Mutant_Movies/ABC Transporters/MXAN_0596/MXAN_0596-mic3-2.16.12	True	0
16	ABC	MXAN_0596	Late abnormal	02.16.12	mic6	ABC Transporters--MXAN_0596--MXAN_0596-mic6-2.16.12	/mnt/SeagateBackup_USB/Mutant_Movies/ABC Transporters/MXAN_0596/MXAN_0596-mic6-2.16.12	True	0
17	ABC	MXAN_0596	Late abnormal	02.16.12	mic8	ABC Transporters--MXAN_0596--MXAN_0596-mic8-2.16.12	/mnt/SeagateBackup_USB/Mutant_Movies/ABC Transporters/MXAN_0596/MXAN_0596-mic8-2.16.12	True	0
18	ABC	MXAN_0596	Late abnormal			ABC Transporters--MXAN_0596--test	/mnt/SeagateBackup_USB/Mutant_Movies/ABC Transporters/MXAN_0596/test	True	0
19	ABC	MXAN_0597	LWT			ABC Transporters--MXAN_0597	/mnt/SeagateBackup_USB/Mutant_Movies/ABC Transporters/MXAN_0597	True	4
20	ABC	MXAN_0597	LWT	02.22.12	mic5	ABC Transporters--MXAN_0597--MXAN_0597-mic5-2.22.12	/mnt/SeagateBackup_USB/Mutant_Movies/ABC Transporters/MXAN_0597/MXAN_0597-mic5-2.22.12	True	0
21	ABC	MXAN_0597	LWT	02.22.12	mic6	ABC Transporters--MXAN_0597--MXAN_0597-mic6-2.22.12	/mnt/SeagateBackup_USB/Mutant_Movies/ABC Transporters/MXAN_0597/MXAN_0597-mic6-2.22.12	True	0
22	ABC	MXAN_0597	LWT	02.22.12	mic7	ABC Transporters--MXAN_0597--MXAN_0597-mic7-2.22.12	/mnt/SeagateBackup_USB/Mutant_Movies/ABC Transporters/MXAN_0597/MXAN_0597-mic7-2.22.12	True	0
23	ABC	MXAN_0597	LWT			ABC Transporters--MXAN_0597--test	/mnt/SeagateBackup_USB/Mutant_Movies/ABC Transporters/MXAN_0597/test	True	0
24	ABC	MXAN_0622	LWT	05.24.12	mic3	ABC Transporters--MXAN_0622--MXAN_0622-mic3-5.24.12	/mnt/SeagateBackup_USB/Mutant_Movies/ABC Transporters/MXAN_0622/MXAN_0622-mic3-5.24.12	True	0
25	ABC	MXAN_0622	LWT	05.24.12	mic6	ABC Transporters--MXAN_0622--MXAN_0622-mic6-5.24.12	/mnt/SeagateBackup_USB/Mutant_Movies/ABC Transporters/MXAN_0622/MXAN_0622-mic6-5.24.12	True	0
26	ABC	MXAN_0622	LWT	05.24.12	mic8	ABC Transporters--MXAN_0622--MXAN_0622-mic8-5.24.12	/mnt/SeagateBackup_USB/Mutant_Movies/ABC Transporters/MXAN_0622/MXAN_0622-mic8-5.24.12	True	0
27	ABC	MXAN_0622	LWT			ABC Transporters--MXAN_0622--test	/mnt/SeagateBackup_USB/Mutant_Movies/ABC Transporters/MXAN_0622/test	True	0
28	ABC	MXAN_0751	LWT		mic5	ABC Transporters--MXAN_0629--MXAN_0751--MXAN_0751-mic-5	/mnt/SeagateBackup_USB/Mutant_Movies/ABC Transporters/MXAN_0629/MXAN_0751/MXAN_0751-mic-5	True	0
29	ABC	MXAN_0751	LWT		mic7	ABC Transporters--MXAN_0629--MXAN_0751--MXAN_0751-mic-7	/mnt/SeagateBackup_USB/Mutant_Movies/ABC Transporters/MXAN_0629/MXAN_0751/MXAN_0751-mic-7	True	0
30	ABC	MXAN_0751	LWT			ABC Transporters--MXAN_0629--MXAN_0751--test	/mnt/SeagateBackup_USB/Mutant_Movies/ABC Transporters/MXAN_0629/MXAN_0751/test	True	0
31	ABC	MXAN_0629	Late abnormal	09.24.13	mic3	ABC Transporters--MXAN_0629--MXAN_0629-mic3-9.24.13	/mnt/SeagateBackup_USB/Mutant_Movies/ABC Transporters/MXAN_0629/MXAN_0629-mic3-9.24.13	True	0
32	ABC	MXAN_0629	Late abnormal	09.24.13	mic6	ABC Transporters--MXAN_0629--MXAN_0629-mic6-9.24.13	/mnt/SeagateBackup_USB/Mutant_Movies/ABC Transporters/MXAN_0629/MXAN_0629-mic6-9.24.13	True	0
33	ABC	MXAN_0684	Late abnormal			ABC Transporters--MXAN_0629--MXAN_0684	/mnt/SeagateBackup_USB/Mutant_Movies/ABC Transporters/MXAN_0629/MXAN_0684	True	4
34	ABC	MXAN_0684	Late abnormal	05.18.12	mic3	ABC Transporters--MXAN_0629--MXAN_0684--MXAN_0684-mic3-5.18.12	/mnt/SeagateBackup_USB/Mutant_Movies/ABC Transporters/MXAN_0629/MXAN_0684/MXAN_0684-mic3-5.18.12	True	0
35	ABC	MXAN_0684	Late abnormal	05.18.12	mic6	ABC Transporters--MXAN_0629--MXAN_0684--MXAN_0684-mic6-5.18.12	/mnt/SeagateBackup_USB/Mutant_Movies/ABC Transporters/MXAN_0629/MXAN_0684/MXAN_0684-mic6-5.18.12	True	0
36	ABC	MXAN_0684	Late abnormal	05.18.12	mic8	ABC Transporters--MXAN_0629--MXAN_0684--MXAN_0684-mic8-5.18.12	/mnt/SeagateBackup_USB/Mutant_Movies/ABC Transporters/MXAN_0629/MXAN_0684/MXAN_0684-mic8-5.18.12	True	0
37	ABC	MXAN_0684	Late abnormal			ABC Transporters--MXAN_0629--MXAN_0684--test	/mnt/SeagateBackup_USB/Mutant_Movies/ABC Transporters/MXAN_0629/MXAN_0684/test	True	0
38	ABC	MXAN_0685	No aggregation	02.17.12	mic5	ABC Transporters--MXAN_0629--MXAN_0685--MXAN_0685-mic5-2.17.12	/mnt/SeagateBackup_USB/Mutant_Movies/ABC Transporters/MXAN_0629/MXAN_0685/MXAN_0685-mic5-2.17.12	True	0
39	ABC	MXAN_0685	No aggregation	02.17.12	mic7	ABC Transporters--MXAN_0629--MXAN_0685--MXAN_0685-mic7-2.17.12	/mnt/SeagateBackup_USB/Mutant_Movies/ABC Transporters/MXAN_0629/MXAN_0685/MXAN_0685-mic7-2.17.12	True	0
40	ABC	MXAN_0685	No aggregation			ABC Transporters--MXAN_0629--MXAN_0685--test	/mnt/SeagateBackup_USB/Mutant_Movies/ABC Transporters/MXAN_0629/MXAN_0685/test	True	0
41	ABC	MXAN_0686	LWT	04.16.13	mic3	ABC Transporters--MXAN_0629--MXAN_0686--MXAN_0686-mic3-4.16.13	/mnt/SeagateBackup_USB/Mutant_Movies/ABC Transporters/MXAN_0629/MXAN_0686/MXAN_0686-mic3-4.16.13	True	0
42	ABC	MXAN_0686	LWT	04.16.13	mic6	ABC Transporters--MXAN_0629--MXAN_0686--MXAN_0686-mic6-4.16.13	/mnt/SeagateBackup_USB/Mutant_Movies/ABC Transporters/MXAN_0629/MXAN_0686/MXAN_0686-mic6-4.16.13	True	0
43	ABC	MXAN_0686	LWT	04.16.13	mic8	ABC Transporters--MXAN_0629--MXAN_0686--MXAN_0686-mic8-4.16.13	/mnt/SeagateBackup_USB/Mutant_Movies/ABC Transporters/MXAN_0629/MXAN_0686/MXAN_0686-mic8-4.16.13	True	0
44	ABC	MXAN_0686	LWT			ABC Transporters--MXAN_0629--MXAN_0686--test	/mnt/SeagateBackup_USB/Mutant_Movies/ABC Transporters/MXAN_0629/MXAN_0686/test	True	0
45	ABC	MXAN_0687	Late normal	02.28.12	mic6	ABC Transporters--MXAN_0629--MXAN_0687--MXAN_0687-mic6-2.28.12	/mnt/SeagateBackup_USB/Mutant_Movies/ABC Transporters/MXAN_0629/MXAN_0687/MXAN_0687-mic6-2.28.12	True	0
46	ABC	MXAN_0687	Late normal	02.28.12	mic7	ABC Transporters--MXAN_0629--MXAN_0687--MXAN_0687-mic7-2.28.12	/mnt/SeagateBackup_USB/Mutant_Movies/ABC Transporters/MXAN_0629/MXAN_0687/MXAN_0687-mic7-2.28.12	True	0
47	ABC	MXAN_0687	Late normal			ABC Transporters--MXAN_0629--MXAN_0687--test	/mnt/SeagateBackup_USB/Mutant_Movies/ABC Transporters/MXAN_0629/MXAN_0687/test	True	0
48	ABC	MXAN_0696	LWT	04.17.13	mic3	ABC Transporters--MXAN_0629--MXAN_0696--MXAN_0696-mic3-4.17.13	/mnt/SeagateBackup_USB/Mutant_Movies/ABC Transporters/MXAN_0629/MXAN_0696/MXAN_0696-mic3-4.17.13	True	0
49	ABC	MXAN_0696	LWT	04.17.13	mic6	ABC Transporters--MXAN_0629--MXAN_0696--MXAN_0696-mic6-4.17.13	/mnt/SeagateBackup_USB/Mutant_Movies/ABC Transporters/MXAN_0629/MXAN_0696/MXAN_0696-mic6-4.17.13	True	0
50	ABC	MXAN_0696	LWT	04.17.13	mic8	ABC Transporters--MXAN_0629--MXAN_0696--MXAN_0696-mic8-4.17.13	/mnt/SeagateBackup_USB/Mutant_Movies/ABC Transporters/MXAN_0629/MXAN_0696/MXAN_0696-mic8-4.17.13	True	0
51	ABC	MXAN_0696	LWT			ABC Transporters--MXAN_0629--MXAN_0696--test	/mnt/SeagateBackup_USB/Mutant_Movies/ABC Transporters/MXAN_0629/MXAN_0696/test	True	0
52	ABC	MXAN_0721	Pulsatile	02.24.12	mic6	ABC Transporters--MXAN_0629--MXAN_0721--MXAN_0721-mic6-2.24.12	/mnt/SeagateBackup_USB/Mutant_Movies/ABC Transporters/MXAN_0629/MXAN_0721/MXAN_0721-mic6-2.24.12	True	0
53	ABC	MXAN_0721	Pulsatile	02.24.12	mic7	ABC Transporters--MXAN_0629--MXAN_0721--MXAN_0721-mic7-2.24.12	/mnt/SeagateBackup_USB/Mutant_Movies/ABC Transporters/MXAN_0629/MXAN_0721/MXAN_0721-mic7-2.24.12	True	0
54	ABC	MXAN_0721	Pulsatile			ABC Transporters--MXAN_0629--MXAN_0721--test	/mnt/SeagateBackup_USB/Mutant_Movies/ABC Transporters/MXAN_0629/MXAN_0721/test	True	0
55	ABC	MXAN_0721	Pulsatile			ABC Transporters--MXAN_0629--MXAN_0721--test0	/mnt/SeagateBackup_USB/Mutant_Movies/ABC Transporters/MXAN_0629/MXAN_0721/test0	True	0
56	ABC	MXAN_0722	Pulsatile	03.25.13	mic3	ABC Transporters--MXAN_0629--MXAN_0722--MXAN_0722-mic3-3.25.13	/mnt/SeagateBackup_USB/Mutant_Movies/ABC Transporters/MXAN_0629/MXAN_0722/MXAN_0722-mic3-3.25.13	True	0
57	ABC	MXAN_0722	Pulsatile	03.25.13	mic6	ABC Transporters--MXAN_0629--MXAN_0722--MXAN_0722-mic6-3.25.13	/mnt/SeagateBackup_USB/Mutant_Movies/ABC Transporters/MXAN_0629/MXAN_0722/MXAN_0722-mic6-3.25.13	True	0
58	ABC	MXAN_0722	Pulsatile			ABC Transporters--MXAN_0629--MXAN_0722--test	/mnt/SeagateBackup_USB/Mutant_Movies/ABC Transporters/MXAN_0629/MXAN_0722/test	True	0
59	ABC	MXAN_0770	LWT	03.21.13	mic3	ABC Transporters--MXAN_0629--MXAN_0770--MXAN_0770-mic3-3.21.13	/mnt/SeagateBackup_USB/Mutant_Movies/ABC Transporters/MXAN_0629/MXAN_0770/MXAN_0770-mic3-3.21.13	True	0
60	ABC	MXAN_0770	LWT	03.21.13	mic6	ABC Transporters--MXAN_0629--MXAN_0770--MXAN_0770-mic6-3.21.13	/mnt/SeagateBackup_USB/Mutant_Movies/ABC Transporters/MXAN_0629/MXAN_0770/MXAN_0770-mic6-3.21.13	True	0
61	ABC	MXAN_0770	LWT	03.21.13	mic8	ABC Transporters--MXAN_0629--MXAN_0770--MXAN_0770-mic8-3.21.13	/mnt/SeagateBackup_USB/Mutant_Movies/ABC Transporters/MXAN_0629/MXAN_0770/MXAN_0770-mic8-3.21.13	True	0
62	ABC	MXAN_0770	LWT			ABC Transporters--MXAN_0629--MXAN_0770--test	/mnt/SeagateBackup_USB/Mutant_Movies/ABC Transporters/MXAN_0629/MXAN_0770/test	True	0
63	ABC	MXAN_0771	LWT	03.09.12	mic4	ABC Transporters--MXAN_0629--MXAN_0771--MXAN_0771-mic4-3.9.12	/mnt/SeagateBackup_USB/Mutant_Movies/ABC Transporters/MXAN_0629/MXAN_0771/MXAN_0771-mic4-3.9.12	True	0
64	ABC	MXAN_0771	LWT	03.09.12	mic6	ABC Transporters--MXAN_0629--MXAN_0771--MXAN_0771-mic6-3.9.12	/mnt/SeagateBackup_USB/Mutant_Movies/ABC Transporters/MXAN_0629/MXAN_0771/MXAN_0771-mic6-3.9.12	True	0
65	ABC	MXAN_0771	LWT	03.09.12	mic8	ABC Transporters--MXAN_0629--MXAN_0771--MXAN_0771-mic8-3.9.12	/mnt/SeagateBackup_USB/Mutant_Movies/ABC Transporters/MXAN_0629/MXAN_0771/MXAN_0771-mic8-3.9.12	True	0
66	ABC	MXAN_0771	LWT			ABC Transporters--MXAN_0629--MXAN_0771--test	/mnt/SeagateBackup_USB/Mutant_Movies/ABC Transporters/MXAN_0629/MXAN_0771/test	True	0
67	ABC	MXAN_0772	LWT	03.09.12	mic2	ABC Transporters--MXAN_0629--MXAN_0772--MXAN_0772-mic2-3.9.12	/mnt/SeagateBackup_USB/Mutant_Movies/ABC Transporters/MXAN_0629/MXAN_0772/MXAN_0772-mic2-3.9.12	True	0
68	ABC	MXAN_0772	LWT	03.09.12	mic5	ABC Transporters--MXAN_0629--MXAN_0772--MXAN_0772-mic5-3.9.12	/mnt/SeagateBackup_USB/Mutant_Movies/ABC Transporters/MXAN_0629/MXAN_0772/MXAN_0772-mic5-3.9.12	True	0
69	ABC	MXAN_0772	LWT	03.09.12	mic7	ABC Transporters--MXAN_0629--MXAN_0772--MXAN_0772-mic7-3.9.12	/mnt/SeagateBackup_USB/Mutant_Movies/ABC Transporters/MXAN_0629/MXAN_0772/MXAN_0772-mic7-3.9.12	True	0
70	ABC	MXAN_0772	LWT			ABC Transporters--MXAN_0629--MXAN_0772--test	/mnt/SeagateBackup_USB/Mutant_Movies/ABC Transporters/MXAN_0629/MXAN_0772/test	True	0
71	ABC	MXAN_0966	LWT	03.21.13	mic7	ABC Transporters--MXAN_0629--MXAN_0966--MXAN_0966-mic7-3.21.13	/mnt/SeagateBackup_USB/Mutant_Movies/ABC Transporters/MXAN_0629/MXAN_0966/MXAN_0966-mic7-3.21.13	True	0
72	ABC	MXAN_0966	LWT			ABC Transporters--MXAN_0629--MXAN_0966--test	/mnt/SeagateBackup_USB/Mutant_Movies/ABC Transporters/MXAN_0629/MXAN_0966/test	True	0
73	ABC	MXAN_0967	Pulsatile	03.07.12	mic5	ABC Transporters--MXAN_0629--MXAN_0967--MXAN_0967-mic5-3.7.12	/mnt/SeagateBackup_USB/Mutant_Movies/ABC Transporters/MXAN_0629/MXAN_0967/MXAN_0967-mic5-3.7.12	True	0
74	ABC	MXAN_0967	Pulsatile	03.07.12	mic6	ABC Transporters--MXAN_0629--MXAN_0967--MXAN_0967-mic6-3.7.12	/mnt/SeagateBackup_USB/Mutant_Movies/ABC Transporters/MXAN_0629/MXAN_0967/MXAN_0967-mic6-3.7.12	True	0
75	ABC	MXAN_0967	Pulsatile	03.07.12	mic7	ABC Transporters--MXAN_0629--MXAN_0967--MXAN_0967-mic7-3.7.12	/mnt/SeagateBackup_USB/Mutant_Movies/ABC Transporters/MXAN_0629/MXAN_0967/MXAN_0967-mic7-3.7.12	True	0
76	ABC	MXAN_0967	Pulsatile			ABC Transporters--MXAN_0629--MXAN_0967--test	/mnt/SeagateBackup_USB/Mutant_Movies/ABC Transporters/MXAN_0629/MXAN_0967/test	True	0
77	ABC	MXAN_0968	Late normal	03.07.12	mic2	ABC Transporters--MXAN_0629--MXAN_0968--MXAN_0968-mic2-3.7.12	/mnt/SeagateBackup_USB/Mutant_Movies/ABC Transporters/MXAN_0629/MXAN_0968/MXAN_0968-mic2-3.7.12	True	0
78	ABC	MXAN_0968	Late normal	03.07.12	mic4	ABC Transporters--MXAN_0629--MXAN_0968--MXAN_0968-mic4-3.7.12	/mnt/SeagateBackup_USB/Mutant_Movies/ABC Transporters/MXAN_0629/MXAN_0968/MXAN_0968-mic4-3.7.12	True	0
79	ABC	MXAN_0968	Late normal			ABC Transporters--MXAN_0629--MXAN_0968--test	/mnt/SeagateBackup_USB/Mutant_Movies/ABC Transporters/MXAN_0629/MXAN_0968/test	True	0
80	ABC	MXAN_0995	LWT	04.11.13	mic3	ABC Transporters--MXAN_0629--MXAN_0995--MXAN_0995-mic3-4.11.13	/mnt/SeagateBackup_USB/Mutant_Movies/ABC Transporters/MXAN_0629/MXAN_0995/MXAN_0995-mic3-4.11.13	True	0
81	ABC	MXAN_0995	LWT	04.11.13	mic6	ABC Transporters--MXAN_0629--MXAN_0995--MXAN_0995-mic6-4.11.13	/mnt/SeagateBackup_USB/Mutant_Movies/ABC Transporters/MXAN_0629/MXAN_0995/MXAN_0995-mic6-4.11.13	True	0
82	ABC	MXAN_0995	LWT	04.11.13	mic8	ABC Transporters--MXAN_0629--MXAN_0995--MXAN_0995-mic8-4.11.13	/mnt/SeagateBackup_USB/Mutant_Movies/ABC Transporters/MXAN_0629/MXAN_0995/MXAN_0995-mic8-4.11.13	True	0
83	ABC	MXAN_0995	LWT			ABC Transporters--MXAN_0629--MXAN_0995--test	/mnt/SeagateBackup_USB/Mutant_Movies/ABC Transporters/MXAN_0629/MXAN_0995/test	True	0
84	ABC	MXAN_0629	Late abnormal			ABC Transporters--MXAN_0629--test	/mnt/SeagateBackup_USB/Mutant_Movies/ABC Transporters/MXAN_0629/test	True	1
85	ABC	MXAN_1097	LWT	03.07.12	mic2	ABC Transporters--MXAN_1097--MXAN_1097-mic2-3.7.12	/mnt/SeagateBackup_USB/Mutant_Movies/ABC Transporters/MXAN_1097/MXAN_1097-mic2-3.7.12	True	0
86	ABC	MXAN_1097	LWT	03.07.12	mic4	ABC Transporters--MXAN_1097--MXAN_1097-mic4-3.7.12	/mnt/SeagateBackup_USB/Mutant_Movies/ABC Transporters/MXAN_1097/MXAN_1097-mic4-3.7.12	True	0
87	ABC	MXAN_1097	LWT	03.07.12	mic8	ABC Transporters--MXAN_1097--MXAN_1097-mic8-3.7.12	/mnt/SeagateBackup_USB/Mutant_Movies/ABC Transporters/MXAN_1097/MXAN_1097-mic8-3.7.12	True	0
88	ABC	MXAN_1097	LWT			ABC Transporters--MXAN_1097--test	/mnt/SeagateBackup_USB/Mutant_Movies/ABC Transporters/MXAN_1097/test	True	1
89	ABC	MXAN_1124	Pulsatile	10.04.12	mic8	ABC Transporters--MXAN_1124--MXAN_1124-mic8-10.04.12	/mnt/SeagateBackup_USB/Mutant_Movies/ABC Transporters/MXAN_1124/MXAN_1124-mic8-10.04.12	True	1
90	ABC	MXAN_1124	Pulsatile			ABC Transporters--MXAN_1124--test	/mnt/SeagateBackup_USB/Mutant_Movies/ABC Transporters/MXAN_1124/test	True	1
91	ABC	MXAN_1151	LWT	03.26.13	mic4	ABC Transporters--MXAN_1151--MXAN_1151-mic4-3.26.13	/mnt/SeagateBackup_USB/Mutant_Movies/ABC Transporters/MXAN_1151/MXAN_1151-mic4-3.26.13	True	1
92	ABC	MXAN_1151	LWT	03.26.13	mic5	ABC Transporters--MXAN_1151--MXAN_1151-mic5-3.26.13	/mnt/SeagateBackup_USB/Mutant_Movies/ABC Transporters/MXAN_1151/MXAN_1151-mic5-3.26.13	True	1
93	ABC	MXAN_1151	LWT	03.26.13	mic7	ABC Transporters--MXAN_1151--MXAN_1151-mic7-3.26.13	/mnt/SeagateBackup_USB/Mutant_Movies/ABC Transporters/MXAN_1151/MXAN_1151-mic7-3.26.13	True	1
94	ABC	MXAN_1151	LWT			ABC Transporters--MXAN_1151--test	/mnt/SeagateBackup_USB/Mutant_Movies/ABC Transporters/MXAN_1151/test	True	1
95	ABC	MXAN_1153	LWT	04.01.13	mic2	ABC Transporters--MXAN_1153--MXAN_1153-mic2-4.1.13	/mnt/SeagateBackup_USB/Mutant_Movies/ABC Transporters/MXAN_1153/MXAN_1153-mic2-4.1.13	True	1
96	ABC	MXAN_1153	LWT	04.01.13	mic4	ABC Transporters--MXAN_1153--MXAN_1153-mic4-4.1.13	/mnt/SeagateBackup_USB/Mutant_Movies/ABC Transporters/MXAN_1153/MXAN_1153-mic4-4.1.13	True	1
97	ABC	MXAN_1153	LWT	04.01.13	mic8	ABC Transporters--MXAN_1153--MXAN_1153-mic8-4.1.13	/mnt/SeagateBackup_USB/Mutant_Movies/ABC Transporters/MXAN_1153/MXAN_1153-mic8-4.1.13	True	1
98	ABC	MXAN_1153	LWT			ABC Transporters--MXAN_1153--test	/mnt/SeagateBackup_USB/Mutant_Movies/ABC Transporters/MXAN_1153/test	True	1
99	ABC	MXAN_1154	LWT	10.08.12	mic2	ABC Transporters--MXAN_1154--MXAN_1154-mic-2-10-8-12	/mnt/SeagateBackup_USB/Mutant_Movies/ABC Transporters/MXAN_1154/MXAN_1154-mic-2-10-8-12	True	1
100	ABC	MXAN_1154	LWT	10.08.12	mic4	ABC Transporters--MXAN_1154--MXAN_1154-mic-4-10-8-12	/mnt/SeagateBackup_USB/Mutant_Movies/ABC Transporters/MXAN_1154/MXAN_1154-mic-4-10-8-12	True	1
101	ABC	MXAN_1154	LWT	10.08.12	mic8	ABC Transporters--MXAN_1154--MXAN_1154-mic-8-10-8-12	/mnt/SeagateBackup_USB/Mutant_Movies/ABC Transporters/MXAN_1154/MXAN_1154-mic-8-10-8-12	True	1
102	ABC	MXAN_1154	LWT			ABC Transporters--MXAN_1154--test	/mnt/SeagateBackup_USB/Mutant_Movies/ABC Transporters/MXAN_1154/test	True	1
103	ABC	MXAN_1155	LWT	10.08.12	mic6	ABC Transporters--MXAN_1155--MXAN_1155-mic-6-10-8-12	/mnt/SeagateBackup_USB/Mutant_Movies/ABC Transporters/MXAN_1155/MXAN_1155-mic-6-10-8-12	True	0
104	ABC	MXAN_1155	LWT	10.08.12	mic3	ABC Transporters--MXAN_1155--MXAN_1155-mic3-10-8-12	/mnt/SeagateBackup_USB/Mutant_Movies/ABC Transporters/MXAN_1155/MXAN_1155-mic3-10-8-12	True	0
105	ABC	MXAN_1155	LWT	10.08.12	mic5	ABC Transporters--MXAN_1155--MXAN_1155-mic5-10-8-12	/mnt/SeagateBackup_USB/Mutant_Movies/ABC Transporters/MXAN_1155/MXAN_1155-mic5-10-8-12	True	0
106	ABC	MXAN_1155	LWT	10.05.12	mic5	ABC Transporters--MXAN_1155--MXAN_1155-mic5-10.05.12	/mnt/SeagateBackup_USB/Mutant_Movies/ABC Transporters/MXAN_1155/MXAN_1155-mic5-10.05.12	True	0
107	ABC	MXAN_1155	LWT	10.05.12	mic6	ABC Transporters--MXAN_1155--MXAN_1155-mic6-10.05.12	/mnt/SeagateBackup_USB/Mutant_Movies/ABC Transporters/MXAN_1155/MXAN_1155-mic6-10.05.12	True	0
108	ABC	MXAN_1155	LWT	10.08.12	mic7	ABC Transporters--MXAN_1155--MXAN_1155-mic7-10-8-12	/mnt/SeagateBackup_USB/Mutant_Movies/ABC Transporters/MXAN_1155/MXAN_1155-mic7-10-8-12	True	4
109	ABC	MXAN_1155	LWT	10.05.12	mic7	ABC Transporters--MXAN_1155--MXAN_1155-mic7-10.05.12	/mnt/SeagateBackup_USB/Mutant_Movies/ABC Transporters/MXAN_1155/MXAN_1155-mic7-10.05.12	True	0
110	ABC	MXAN_1155	LWT			ABC Transporters--MXAN_1155--test	/mnt/SeagateBackup_USB/Mutant_Movies/ABC Transporters/MXAN_1155/test	True	0
111	ABC	MXAN_1262	LWT	10.02.12	mic7	ABC Transporters--MXAN_1262--MXAN_1262-mic-7-10-2-2012	/mnt/SeagateBackup_USB/Mutant_Movies/ABC Transporters/MXAN_1262/MXAN_1262-mic-7-10-2-2012	True	0
112	ABC	MXAN_1262	LWT	10.02.12	mic8	ABC Transporters--MXAN_1262--MXAN_1262-mic-8-10-2-2012	/mnt/SeagateBackup_USB/Mutant_Movies/ABC Transporters/MXAN_1262/MXAN_1262-mic-8-10-2-2012	True	0
113	ABC	MXAN_1262	LWT			ABC Transporters--MXAN_1262--test	/mnt/SeagateBackup_USB/Mutant_Movies/ABC Transporters/MXAN_1262/test	True	0
114	ABC	MXAN_1319	Pulsatile	03.14.12	mic2	ABC Transporters--MXAN_1319--MXAN_1319-mic2-3.14.12	/mnt/SeagateBackup_USB/Mutant_Movies/ABC Transporters/MXAN_1319/MXAN_1319-mic2-3.14.12	True	0
