	mutant	strain	phenotype	date	scope	videoname	img_folder	processed	error
543	ECF	MXAN_6759	Abnormal aggregates	11.22.13	mic8	ECF sigma-70 factor--MXAN_6759--MXAN_6759-mic8-11.22.13	/mnt/SeagateBackup_USB/Mutant_Movies/ECF sigma-70 factor/MXAN_6759/MXAN_6759-mic8-11.22.13	True	0
544	ECF	MXAN_6759	Abnormal aggregates			ECF sigma-70 factor--MXAN_6759--test	/mnt/SeagateBackup_USB/Mutant_Movies/ECF sigma-70 factor/MXAN_6759/test	True	0
545	ECF	MXAN_7214	Early aggregation	11.21.11	mic4	ECF sigma-70 factor--MXAN_7214--MXAN_7214-mic4-11.21.11	/mnt/SeagateBackup_USB/Mutant_Movies/ECF sigma-70 factor/MXAN_7214/MXAN_7214-mic4-11.21.11	True	0
546	ECF	MXAN_7214	Early aggregation	11.21.11	mic5	ECF sigma-70 factor--MXAN_7214--MXAN_7214-mic5-11.21.11	/mnt/SeagateBackup_USB/Mutant_Movies/ECF sigma-70 factor/MXAN_7214/MXAN_7214-mic5-11.21.11	True	0
547	ECF	MXAN_7214	Early aggregation	11.21.11	mic7	ECF sigma-70 factor--MXAN_7214--MXAN_7214-mic7-11.21.11	/mnt/SeagateBackup_USB/Mutant_Movies/ECF sigma-70 factor/MXAN_7214/MXAN_7214-mic7-11.21.11	True	0
548	ECF	MXAN_7214	Early aggregation			ECF sigma-70 factor--MXAN_7214--test	/mnt/SeagateBackup_USB/Mutant_Movies/ECF sigma-70 factor/MXAN_7214/test	True	0
549	ECF	MXAN_7289	Abnormal aggregates	11.18.11	mic4	ECF sigma-70 factor--MXAN_7289--MXAN_7289-mic4-11.18.11	/mnt/SeagateBackup_USB/Mutant_Movies/ECF sigma-70 factor/MXAN_7289/MXAN_7289-mic4-11.18.11	True	0
550	ECF	MXAN_7289	Abnormal aggregates	11.18.11	mic5	ECF sigma-70 factor--MXAN_7289--MXAN_7289-mic5-11.18.11	/mnt/SeagateBackup_USB/Mutant_Movies/ECF sigma-70 factor/MXAN_7289/MXAN_7289-mic5-11.18.11	True	0
551	ECF	MXAN_7289	Abnormal aggregates	11.18.11	mic7	ECF sigma-70 factor--MXAN_7289--MXAN_7289-mic7-11.18.11	/mnt/SeagateBackup_USB/Mutant_Movies/ECF sigma-70 factor/MXAN_7289/MXAN_7289-mic7-11.18.11	True	0
552	ECF	MXAN_7289	Abnormal aggregates			ECF sigma-70 factor--MXAN_7289--test	/mnt/SeagateBackup_USB/Mutant_Movies/ECF sigma-70 factor/MXAN_7289/test	True	0
553	ECF	MXAN_7326	LWT	12.20.11	mic4	ECF sigma-70 factor--MXAN_7326--MXAN_7326-mic4-12.20.11	/mnt/SeagateBackup_USB/Mutant_Movies/ECF sigma-70 factor/MXAN_7326/MXAN_7326-mic4-12.20.11	True	0
554	ECF	MXAN_7326	LWT	12.20.11	mic5	ECF sigma-70 factor--MXAN_7326--MXAN_7326-mic5-12.20.11	/mnt/SeagateBackup_USB/Mutant_Movies/ECF sigma-70 factor/MXAN_7326/MXAN_7326-mic5-12.20.11	True	0
555	ECF	MXAN_7326	LWT			ECF sigma-70 factor--MXAN_7326--test	/mnt/SeagateBackup_USB/Mutant_Movies/ECF sigma-70 factor/MXAN_7326/test	True	0
